user_id,feature_name,session_duration,latency_ms,crash_flag,error_count,feedback_score,timestamp
9523,Login,339,113,0,4,2,2024-01-01
15930,Login,87,104,1,3,2,2024-01-01
17637,Login,574,122,0,4,4,2024-01-01
9317,Login,212,138,0,1,1,2024-01-01
7734,Login,577,127,0,0,5,2024-01-01
2143,Login,432,116,0,0,1,2024-01-01
7537,Login,399,134,1,0,5,2024-01-01
2338,Login,410,148,0,0,5,2024-01-01
10918,Login,115,101,0,1,1,2024-01-01
6224,Login,280,137,0,3,1,2024-01-01
17481,Login,293,139,1,1,5,2024-01-01
14057,Login,413,130,0,2,1,2024-01-01
5091,Login,233,130,0,0,4,2024-01-01
10741,Login,397,132,0,0,3,2024-01-01
2731,Login,162,139,0,4,3,2024-01-01
8746,Login,438,119,0,3,2,2024-01-01
8881,Login,107,108,0,3,3,2024-01-01
2497,Login,168,87,0,3,4,2024-01-01
14457,Login,218,134,0,4,1,2024-01-01
3280,Login,61,150,0,0,3,2024-01-01
12128,Login,535,131,0,2,3,2024-01-01
8428,Login,223,119,0,5,2,2024-01-01
8326,Login,96,99,0,3,4,2024-01-01
13888,Login,68,118,0,0,3,2024-01-01
3271,Search,126,533,0,3,2,2024-01-01
19581,Search,418,536,0,0,2,2024-01-01
17755,Search,173,259,0,5,5,2024-01-01
7195,Search,291,428,0,0,2,2024-01-01
3034,Search,383,444,0,4,2,2024-01-01
2390,Search,162,294,0,1,2,2024-01-01
14711,Search,229,575,0,3,1,2024-01-01
2377,Search,369,522,0,1,3,2024-01-01
5440,Search,138,207,0,0,5,2024-01-01
6560,Search,569,539,0,1,3,2024-01-01
12297,Search,256,400,0,4,1,2024-01-01
2833,Search,70,388,0,3,3,2024-01-01
11169,Search,513,291,0,2,1,2024-01-01
12483,Search,357,429,0,3,3,2024-01-01
6924,Search,214,427,0,0,5,2024-01-01
5056,Search,211,264,0,3,2,2024-01-01
3289,Search,196,261,0,3,2,2024-01-01
15895,Search,193,544,0,2,4,2024-01-01
19939,Search,46,509,0,5,5,2024-01-01
1291,Search,69,496,0,4,3,2024-01-01
17543,Search,50,497,0,1,5,2024-01-01
13117,Search,447,586,0,3,3,2024-01-01
19441,Search,325,399,0,2,5,2024-01-01
18617,Search,89,539,0,5,2,2024-01-01
16450,Search,73,564,0,1,5,2024-01-01
13635,Search,173,411,1,3,4,2024-01-01
4979,Search,225,519,1,1,3,2024-01-01
2371,Search,389,323,0,2,5,2024-01-01
1419,Search,305,563,0,5,3,2024-01-01
19263,Search,366,383,0,1,3,2024-01-01
7563,Search,418,480,0,0,1,2024-01-01
4560,Search,41,551,0,1,2,2024-01-01
17230,Search,50,380,0,0,2,2024-01-01
7189,Search,580,556,1,0,1,2024-01-01
12714,Search,366,256,0,5,4,2024-01-01
19762,Search,327,368,0,5,1,2024-01-01
14150,VideoPlayback,79,577,0,3,2,2024-01-01
6549,VideoPlayback,512,417,0,2,2,2024-01-01
9467,VideoPlayback,440,439,0,0,4,2024-01-01
18550,VideoPlayback,50,308,0,5,2,2024-01-01
2413,VideoPlayback,426,529,0,3,2,2024-01-01
15945,VideoPlayback,359,407,0,3,5,2024-01-01
18289,VideoPlayback,470,389,0,5,3,2024-01-01
9286,VideoPlayback,453,522,0,1,1,2024-01-01
4072,VideoPlayback,298,565,0,2,4,2024-01-01
15098,VideoPlayback,448,477,0,4,2,2024-01-01
13275,VideoPlayback,205,576,0,2,3,2024-01-01
2892,VideoPlayback,431,561,0,5,4,2024-01-01
6987,VideoPlayback,233,405,0,2,2,2024-01-01
14652,VideoPlayback,417,408,0,0,4,2024-01-01
2810,VideoPlayback,50,504,0,4,3,2024-01-01
5971,VideoPlayback,119,389,0,3,4,2024-01-01
12401,VideoPlayback,94,506,0,5,3,2024-01-01
2586,VideoPlayback,408,577,0,3,4,2024-01-01
3351,VideoPlayback,273,272,0,1,2,2024-01-01
14490,VideoPlayback,38,227,0,0,1,2024-01-01
7420,Recommendations,188,384,0,3,3,2024-01-01
4112,Recommendations,556,310,0,1,4,2024-01-01
12519,Recommendations,570,482,0,2,1,2024-01-01
8279,Recommendations,511,379,0,5,2,2024-01-01
15941,Recommendations,339,310,0,4,4,2024-01-01
7258,Recommendations,320,470,0,4,2,2024-01-01
3715,Recommendations,232,279,1,4,2,2024-01-01
10434,Recommendations,593,541,0,4,2,2024-01-01
10863,Recommendations,592,336,0,5,2,2024-01-01
8515,Recommendations,570,401,0,1,2,2024-01-01
9202,Recommendations,406,442,0,1,4,2024-01-01
14155,Recommendations,350,494,0,4,3,2024-01-01
16944,Recommendations,403,558,0,3,5,2024-01-01
15313,Recommendations,121,394,0,5,5,2024-01-01
18526,Recommendations,40,345,0,0,4,2024-01-01
5362,Recommendations,128,270,0,2,3,2024-01-01
5901,Recommendations,253,450,0,1,3,2024-01-01
15854,Recommendations,60,346,0,3,3,2024-01-01
14947,Recommendations,306,560,0,4,4,2024-01-01
5115,Recommendations,65,570,0,5,2,2024-01-01
2135,Recommendations,218,586,0,4,3,2024-01-01
8674,Payments,439,400,0,0,2,2024-01-01
3195,Payments,347,281,0,4,2,2024-01-01
15439,Payments,82,534,0,0,1,2024-01-01
13006,Payments,548,527,0,1,2,2024-01-01
10951,Payments,47,385,0,0,1,2024-01-01
17124,Payments,233,575,0,4,2,2024-01-01
17687,Payments,300,429,1,0,3,2024-01-01
8448,Payments,241,340,0,5,2,2024-01-01
8173,Payments,448,335,0,4,5,2024-01-01
4367,Payments,519,534,0,4,4,2024-01-01
13490,Payments,365,266,0,2,1,2024-01-01
